Quality	#1 ID	#2 ID	#1 String	#2 String
0	0	9704	Well, I don't know why I love you like I do 	Nobody in the world can get along with you.
0	1	9705	You got the ways of a devil sleeping in a lion's den 	I come home last night, you wouldn't even let me in.
0	2	9706	Well, sometimes you're as sweet as anybody wanna be	When you get a crazy notion of jumping all over me.
0	3	9707	Well, you give me the blues, I guess you're satisfied,	And you give me the blues, I wanna lay down and die.
0	4	9708	I helped you when you had no shoes on your feet, pretty mama,	I helped you when you had no food to eat.
0	5	9709	You're the kind of woman I just don't understand 	You're taking all my money and give it to another man.
0	6	9710	Well, you're the kinda woman makes a man lose his brains,	You're the kinda woman drives a man insane.
1	7	9711	You give me the blues, I guess you're satisfied,	You give me the blues, I wanna lay down and die,
0	8	9712	Rambling outta the Wild West,	Leaving the towns I love the best,
0	9	9713	Thought I'd seen some ups and downs	Till I come into New York town:
1	10	9714	People going down to the ground,	Buildings going up to the sky.
0	11	9715	Wintertime in New York town,	The wind blowing the snow around,
0	12	9716	Walk around with nowhere to go,	Somebody could freeze right to the bone 
0	13	9717	I froze right to the bone.	New York Times said it was the coldest winter in seventeen years 
1	14	9718	I didn't feel so cold then.	I swung on to my old guitar,
0	15	9719	Grabbed hold of a subway car,	And after a rocking, reeling, rolling ride
0	16	9720	I landed up on the downtown side,	Greenwich Village.
0	17	9721	I walked down there and ended up	In one of them coffeehouses on the block.
0	18	9722	I'd get on the stage and sing and play,	"Man there said, ""Come back some other day."
0	19	9723	You sound like a hillbilly.	"We want folksingers here."""
0	20	9724	Well, I got a harmonica job, begun to play,	Blowing my lungs out for a dollar a day.
0	21	9725	I blowed inside out and upside down,	The man there said he loved my sound,
0	22	9726	He was raving about how he loved my sound 	Dollar a day's worth.
0	23	9727	Now, after weeks and weeks of hanging around,	I finally got a job in New York town.
0	24	9728	In a bigger place, bigger money too,	Even joined a union, paid my dues.
0	25	9729	Now, a very great man once said	That some people rob you with a fountain pen.
0	26	9730	It don't take too long to find out	Just what he was talking about.
0	27	9731	A lot of people don't have much food on their table,	But they got a lot of forks and knives 
0	28	9732	And they gotta cut something.	So, one morning when the sun was warm
0	29	9733	I rambled out of New York town,	Pulled my cap down over my eyes,
0	30	9734	Headed out for the western skies.	So long, New York!
0	31	9735	Well, in my time of dying, don't want nobody to mourn.	All I want for you to do is take my body home,
1	32	9736	Well, well, well, so I can die easy,	Well, well, well,
0	33	9737	Well, well, well, so I can die easy,	Jesus gonna make upJesus gonna make up
0	34	9738	Jesus gonna make up my dying bed.	Well, meet me, Jesus, meet me,
0	35	9739	Meet me in the middle of the air.	If these wings should fail me, Lord,
0	36	9740	Won't you meet me with another pair?	Well, well, well, so I can die easy,
1	37	9741	Well, well, well,	Well, well, well, so I can die easy,
1	38	9742	Jesus gonna make upJesus gonna make up	Jesus gonna make up my dying bed.
0	39	9743	Lord, in my time of dying, don't want nobody to cry.	All I want you to do is take me when I die,
1	40	9744	Well, well, well, so I can die easy,	Well, well, well,
